time,Muff_AW-INFO,Muff_INFO-ETI,Muff_AW-ZHI,Muff_HKW-DLR,Muff_DLR-ATRIUM,Muff_ZHI-HdM,Muff_AW-KZS1,Muff_AW-KZS2,Muff_IFF-ZAQ,Muff_ZAQ-IFKB
01.01.2023 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 16:15,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266316e-05
01.01.2023 16:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 16:45,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523687707153047e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
01.01.2023 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 17:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 17:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 17:45,1.5580357142857145e-05,1.9715884038800704e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.8225170855379197e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
01.01.2023 18:00,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
01.01.2023 18:15,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.8225170855379197e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
01.01.2023 18:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 18:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 19:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 19:30,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.8225170855379197e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
01.01.2023 19:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 20:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 20:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 20:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 21:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 21:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 21:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 22:00,1.5580357142857155e-05,1.9715884038800707e-05,1.8609871031746016e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
01.01.2023 22:15,1.5580357142857155e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232813e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.0485284391534385e-05,2.6496224647266313e-05
01.01.2023 22:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 22:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 23:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 23:30,1.5580357142857138e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
01.01.2023 23:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 00:45,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 01:00,1.5580357142857148e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.04852843915344e-05,2.6496224647266313e-05
02.01.2023 01:15,1.5580357142857148e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 02:45,1.5580357142857155e-05,1.9715884038800707e-05,1.8609871031746023e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 03:45,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 04:00,1.5580357142857145e-05,1.9715884038800707e-05,1.860987103174603e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 04:15,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 05:30,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232813e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.0485284391534395e-05,2.6496224647266323e-05
02.01.2023 05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 06:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 06:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 06:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 07:15,1.5580357142857155e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232796e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
02.01.2023 07:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 07:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 08:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 08:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.01.2023 08:45,503.7289808182276,637.4348214057819,601.6762826439941,550.3705531162117,631.2159450993842,589.2385300311985,604.7857207971932,741.6009995379463,662.3103266313736,856.6502112063068
02.01.2023 09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
